Lat,Lon,Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14
-87.711774,41.915431,82,,,,,,,,,,,,,
-87.712042,41.917286,73,,,,,,,,,,,,,
-87.71423,41.924701,74,,,,,,,,,,,,,
-87.712195,41.924869,82,,,,,,,,,,,,,
-87.712114,41.922915,82,,,,,,,,,,,,,
-87.710679,41.930992,56,76,,,,,,,,,,,,
-87.712297,41.935287,82,,,,,,,,,,,,,
-87.712694,41.943541,82,,,,,,,,,,,,,
-87.712651,41.942395,82,,,,,,,,,,,,,
-87.712755,41.944691,82,,,,,,,,,,,,,
-87.71371,41.979442,82,92,,,,,,,,,,,,
-87.713809,41.983084,82,,,,,,,,,,,,,
-87.71104,41.992514,11,,,,,,,,,,,,,
-87.714027,41.994158,82,,,,,,,,,,,,,
-87.711272,42.01195,96,,,,,,,,,,,,,
-87.711225,42.011738,96,,,,,,,,,,,,,
-87.712921,41.68402,52A,,,,,,,,,,,,,
-87.711771,41.734936,87,,,,,,,,,,,,,
-87.711722,41.749562,79,,,,,,,,,,,,,
-87.708074,41.786239,59,,,,,,,,,,,,,
-87.710257,41.851776,21,,,,,,,,,,,,,
-87.710725,41.866261,12,,,,,,,,,,,,,
-87.710626,41.866017,82,,,,,,,,,,,,,
-87.710671,41.867921,82,,,,,,,,,,,,,
-87.707926,41.86645,12,,,,,,,,,,,,,
-87.710841,41.873703,82,,,,,,,,,,,,,
-87.70958,41.899399,65,,,,,,,,,,,,,
-87.707255,41.910221,72,,,,,,,,,,,,,
-87.707643,41.924856,74,,,,,,,,,,,,,
-87.707305,41.932118,76,,,,,,,,,,,,,
-87.709957,41.939396,77,,,,,,,,,,,,,
-87.707691,41.9467,152,,,,,,,,,,,,,
-87.708351,41.96113,78,,,,,,,,,,,,,
-87.70849,41.971981,82,93,,,,,,,,,,,,
